trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.0075, 'e': 0.6618592824951175}",25,0,-68.92539171175204,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
115,False,"{'a': 0.0075, 'e': 0.6562185097387998}",35,0,-65.09588835690703,"{0: 30, 1: 0, 2: 2, 3: 2, 4: 1}",0
116,False,"{'a': 0.0075, 'e': 0.6505408248643354}",25,3,-43.87187457919443,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.0075, 'e': 0.6448265472400012}",25,0,-142.22879741194367,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
118,False,"{'a': 0.0075, 'e': 0.6390759982924072}",25,0,-58.16358833644512,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.0075, 'e': 0.6332895014884152}",25,3,-92.85506315538065,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
120,False,"{'a': 0.0075, 'e': 0.627467382316945}",25,18,10.243867388604308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.0075, 'e': 0.6216099682706646}",20,3,6.725681004509173,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.0075, 'e': 0.6157175888275696}",25,0,-48.98914216539657,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.0075, 'e': 0.6097905754324503}",20,10,8.118588695804894,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.0075, 'e': 0.6038292614782471}",25,7,-17.18161832609027,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.0075, 'e': 0.5978339822872983}",20,5,-13.159378172440842,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.0075, 'e': 0.5918050750924776}",25,0,-72.07050067554121,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
127,False,"{'a': 0.0075, 'e': 0.585742879018225}",30,13,-82.7746194258786,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
128,False,"{'a': 0.0075, 'e': 0.5796477350614712}",25,11,1.2490428961528255,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.0075, 'e': 0.5735199860724567}",25,5,-21.73543776944887,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.0075, 'e': 0.5673599767354466}",25,9,1.3529943755838358,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.0075, 'e': 0.5611680535493415}",20,0,-18.845574973170354,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.0075, 'e': 0.5549445648081883}",20,0,-42.55337287744208,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
133,False,"{'a': 0.0075, 'e': 0.5486898605815876}",35,0,-8.085081405875307,"{0: 28, 1: 5, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.0075, 'e': 0.5424042926950031}",20,0,-6.529831036440733,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.0075, 'e': 0.536088214709971}",20,0,-7.799101548340119,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.0075, 'e': 0.5297419819042124}",30,18,-19.795702884518214,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.0075, 'e': 0.5233659512516496}",20,0,-13.168293585815182,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.0075, 'e': 0.5169604814023256}",25,18,11.073678650429903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.0075, 'e': 0.5105259326622303}",30,5,-50.869114916249885,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
140,False,"{'a': 0.0075, 'e': 0.5040626669730338}",20,0,-15.81462874958888,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
141,False,"{'a': 0.0075, 'e': 0.497571047891727}",30,6,-16.76028199045021,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
142,False,"{'a': 0.0075, 'e': 0.4910514405701717}",30,18,11.219654328903776,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.0075, 'e': 0.4845042117345603}",20,14,11.664221968288848,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.0075, 'e': 0.47792972966478875}",20,15,3.540522246884958,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.0075, 'e': 0.47132836417373997}",20,3,-4.596246326935358,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.0075, 'e': 0.4647004865864824}",20,9,-5.296351371092655,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.0075, 'e': 0.45804646971938234}",20,6,-19.36607197505727,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.0075, 'e': 0.45136668785913436}",20,16,6.309186820678356,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.0075, 'e': 0.44466151674170695}",30,15,14.288716436597928,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.0075, 'e': 0.43793133353120717}",20,7,-26.815503736086807,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.0075, 'e': 0.4311765167986662}",30,21,2.527629644498555,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.0075, 'e': 0.4243974465007442}",25,0,-98.86955279421693,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
153,False,"{'a': 0.0075, 'e': 0.4175945039583582}",25,16,-12.131779717992396,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.0075, 'e': 0.41076807183523206}",20,6,-7.650361763656562,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.0075, 'e': 0.40391853411637296}",25,8,-92.87668395040683,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
156,False,"{'a': 0.0075, 'e': 0.39704627608647175}",30,2,-46.27510554200163,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 1}",1
157,False,"{'a': 0.0075, 'e': 0.3901516843082303}",20,0,-29.204247694779955,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.0075, 'e': 0.38323514660061825}",30,5,-40.95557031741841,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
159,False,"{'a': 0.0075, 'e': 0.3762970520170581}",20,3,18.091549747927264,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.0075, 'e': 0.36933779082354096}",20,2,20.965840127369038,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.0075, 'e': 0.3623577544766736}",20,0,-15.803662423666538,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.0075, 'e': 0.35535733560166033}",25,3,9.472337105173857,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.0075, 'e': 0.34833692797021715}",25,8,-45.89172389718087,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
164,False,"{'a': 0.0075, 'e': 0.34129692647842197}",25,0,30.911570390249317,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.0075, 'e': 0.3342377271245026}",25,12,-1.3008375942058266,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.0075, 'e': 0.3271597269865614}",20,9,-72.65630720431935,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
167,False,"{'a': 0.0075, 'e': 0.3200633242002401}",20,0,-3.2000202376479923,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.0075, 'e': 0.31294891793632384}",20,2,-19.234588336426615,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.0075, 'e': 0.3058169083782893}",20,0,-7.32257492046409,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.0075, 'e': 0.2986676966997939}",25,10,-29.422445990443848,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.0075, 'e': 0.29150168504210905}",20,15,2.8536475379058377,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.0075, 'e': 0.28431927649150124}",25,14,18.44070424053658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.0075, 'e': 0.2771208750565576}",25,16,2.225959541223453,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.0075, 'e': 0.2699068856454611}",30,15,-4.338514165629531,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.0075, 'e': 0.26267771404321355}",20,13,12.77911352708751,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.0075, 'e': 0.2554337668888117}",20,2,-16.173000518024068,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
177,False,"{'a': 0.0075, 'e': 0.24817545165237312}",20,0,-0.7320225314706381,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.0075, 'e': 0.24090317661221564}",20,10,6.853710079293004,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.0075, 'e': 0.23361735083189297}",20,12,14.847695962027247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.0075, 'e': 0.22631838413718425}",30,3,33.05379879383558,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.0075, 'e': 0.21900668709304172}",20,8,-16.32717222738424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
