trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.05, 'e': 0.042852126867040166}",20,0,11.073927626870175,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.04076220397836621}",25,0,-48.296532048234006,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
66,False,"{'a': 0.05, 'e': 0.03877420783172201}",30,18,-98.65654361992756,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
67,False,"{'a': 0.05, 'e': 0.036883167401239994}",30,16,16.86790259934102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.05, 'e': 0.035084354100845025}",25,0,0.2783936411836525,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.05, 'e': 0.033373269960326066}",35,0,-8.354440174031133,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.05, 'e': 0.03174563637806794}",20,8,-25.801719454547037,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.0301973834223185}",25,0,-24.605481276753096,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.05, 'e': 0.028724639654239423}",20,0,-17.754235346651363,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.05, 'e': 0.02732372244729256}",35,0,-115.07384548659508,"{0: 27, 1: 2, 2: 2, 3: 2, 4: 2}",0
74,False,"{'a': 0.05, 'e': 0.025991128778755333}",30,0,10.365067628824079,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.05, 'e': 0.024723526470339388}",25,9,13.488117690796482,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.05, 'e': 0.023517745856009107}",25,0,-3.700042853841354,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.02237077185616559}",25,0,32.379244098905545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.02127973643837717}",25,0,-0.2681987992993722,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
79,False,"{'a': 0.05, 'e': 0.02024191144580438}",25,0,-68.17751341995532,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.05, 'e': 0.01925470177538692}",25,0,20.461108057806058,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.05, 'e': 0.01831563888873418}",25,0,30.708593749081434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.017422374639493515}",30,12,11.37852834599699,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.016572675401761237}",20,0,26.201836483891093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.05, 'e': 0.015764416484854486}",20,0,19.845634546684252,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.014995576820477703}",20,12,11.963002583513392,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.014264233908999256}",20,0,-48.049998642945155,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.05, 'e': 0.013568559012200934}",20,0,-17.089281044732797,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.05, 'e': 0.012906812580479862}",30,0,-1.0780891225835147,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.05, 'e': 0.012277339903068436}",30,0,-66.59443722977838,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
90,False,"{'a': 0.05, 'e': 0.011678566970395442}",25,0,-10.810015159463255,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.05, 'e': 0.011108996538242306}",20,0,-13.587807775716762,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.05, 'e': 0.010567204383852655}",30,0,-0.2442021989923926,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.010051835744633576}",30,0,15.874722903036709,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.05, 'e': 0.009561601930543505}",25,0,-37.854992812707714,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,20,13.60889435968291,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,10.614570500560133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-23.145012828310506,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-43.84497406004835,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-1.1912454268483759,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,22.963396668943943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-26.341374982595987,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,10,14.014777491693268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-18.62192120007876,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,1,10.33610082093438,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",35,0,-22.186601943101575,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,0,-55.89712538808784,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",20,0,10.604708594058524,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,0,20.846070130830967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,0,6.350762815717646,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",25,14,-37.14945881336345,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",30,0,-13.332422980073673,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,0,24.91917453322046,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,0,31.235654930475363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,0,5.38784707654726,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
