trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.005, 'e': 0.8982610281785611}",25,0,-87.3325437980212,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.8960524975255253}",25,0,-96.96221679229647,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.005, 'e': 0.8938215656067205}",25,0,-18.54718562989671,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.005, 'e': 0.8915682881953289}",20,0,-109.81139491112641,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
96,False,"{'a': 0.005, 'e': 0.8892927216231682}",20,0,-86.27247938190767,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.005, 'e': 0.8869949227792842}",25,0,-27.549395927538658,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.005, 'e': 0.8846749491085283}",30,0,-97.32615261329005,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
99,False,"{'a': 0.005, 'e': 0.8823328586101216}",20,0,-108.85437144578846,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.005, 'e': 0.8799687098362042}",20,0,-92.5712662487221,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.005, 'e': 0.8775825618903728}",25,0,-111.46696777590805,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
102,False,"{'a': 0.005, 'e': 0.8751744744262013}",25,0,-89.13147723957941,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.005, 'e': 0.8727445076457513}",30,0,-179.04114017898698,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",0
104,False,"{'a': 0.005, 'e': 0.8702927222980654}",20,0,-90.22732098345985,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
105,False,"{'a': 0.005, 'e': 0.8678191796776499}",20,0,-119.79959119720758,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
106,False,"{'a': 0.005, 'e': 0.8653239416229412}",20,0,-73.9392792468915,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.005, 'e': 0.862807070514761}",20,0,-107.85708253921666,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
108,False,"{'a': 0.005, 'e': 0.8602686292747557}",25,0,-19.7018481568952,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.005, 'e': 0.8577086813638242}",20,0,-64.61480542419845,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
110,False,"{'a': 0.005, 'e': 0.8551272907805307}",25,18,13.40057727882261,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.005, 'e': 0.8525245220595057}",20,2,-103.59924659542322,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 1}",1
112,False,"{'a': 0.005, 'e': 0.8499004402698315}",25,0,-223.29477175597256,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
113,False,"{'a': 0.005, 'e': 0.8472551110134161}",20,0,-67.50598314189014,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.005, 'e': 0.8445886004233532}",20,0,-69.56520945084465,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
115,False,"{'a': 0.005, 'e': 0.8419009751622687}",20,0,-76.891595270479,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
116,False,"{'a': 0.005, 'e': 0.8391923024206541}",25,0,-58.75131925401975,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
117,False,"{'a': 0.005, 'e': 0.8364626499151869}",25,0,-110.1973583430893,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
118,False,"{'a': 0.005, 'e': 0.8337120858870376}",20,7,-65.50289719394765,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
119,False,"{'a': 0.005, 'e': 0.8309406791001634}",25,0,-247.71798840329564,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
120,False,"{'a': 0.005, 'e': 0.8281484988395901}",20,0,-24.744425703153247,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.005, 'e': 0.8253356149096783}",25,0,-201.73027326964333,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
122,False,"{'a': 0.005, 'e': 0.82250209763238}",25,16,-30.714768675708054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.005, 'e': 0.8196480178454795}",30,0,-93.685272622569,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
124,False,"{'a': 0.005, 'e': 0.8167734469008229}",25,0,-76.46270080664401,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.005, 'e': 0.8138784566625339}",30,0,-113.72358293104992,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
126,False,"{'a': 0.005, 'e': 0.8109631195052179}",25,0,-131.01880598838235,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
