trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",35,16,-1.2199940315197555,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-111.21821041180988,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-133.10957243409177,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-91.49828663395789,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-156.72556705013227,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-86.3619698536561,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-114.6949734376043,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-65.53231575600425,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,4,-201.98943853092484,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 4}",1
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-111.30559060511727,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-127.9500552812272,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-84.4746621180543,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,18,-40.55326840591193,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-23.531446495423605,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-102.58469623333619,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
